slug,model,field_id,label_fr,label_en,section,external_model,external_model_display_keys,is_controled,reference_table,vocab,translation,multiple,constraint,datatype,is_indexed,is_facet,ADMIN_scope_order,PAGE_LIST_scope_order,PAGE_ITEM,FILTER_page_scope_order,mandatory,editable,commentable,description_fr,description_en
acronym,organization,organizations.acronym,Sigle,Acronym,COMMON,,,False,,,False,False,if_exists,str,False,True,3,2,2,-1,False,True,False,Sigle abbréviation de l’organisme,
agent_type,organization,organizations.agent_type,Type d’agent (DCAT-AP),Agent_type (DCAT-AP),COMMON,reference,name,True,agent_type,DCAT,True,False,oneOf,dict,False,True,7,6,6,2,True,True,False,Type d'organisme gestionnaire des données (Agent type DCATAP),
image_url,organization,organizations.image_url,Url du logo,Logo Url,COMMON,,,False,,,False,False,if_exists,url,False,False,5,4,3,-1,False,True,False,Url du logo de l’organisme,
name,organization,organizations.name,Nom,Name,COMMON,,,False,,,False,False,unique,str,True,True,2,1,1,-1,True,True,False,Nom de l’organisme,
url,organization,organizations.url,Url,Url,COMMON,,,False,,,False,False,unique,url,False,False,4,3,3,-1,True,True,False,Lien vers le site de l’organisme,
description,organization,organizations.description,A propos,About,COMMON,,,False,,,True,False,None,str,False,False,8,7,7,-1,False,True,False,Rapide description de l’organisme : missions objectifs,
members,organization,organizations.members,Membres,Members,COMMON,user,name|role|type,False,,,False,True,oneOf,dict,False,False,9,-1,-1,-1,False,True,False,Membres de l’organisme,
id,log,logs.id,ID,ID,ADMIN,,,False,,,False,False,unique,id,False,False,1,-1,-1,-1,True,False,False,,
action,log,logs.action,Action,Action,ADMIN,reference,name,True,action,,False,False,oneOf,str,False,True,2,-1,-1,-1,True,False,False,,
perimeter,log,logs.perimeter,Périmêtre,Perimeter,ADMIN,reference,name,True,perimeter,,False,False,oneOf,str,False,True,3,-1,-1,-1,True,False,False,,
user,log,logs.user,Utilisateurs,User,ADMIN,user,name,False,,,False,False,oneOf,id,False,True,4,-1,-1,-1,True,False,False,,
date,log,logs.date,Date,Date ,ADMIN,,,False,,,False,False,None,Date,False,True,5,-1,-1,-1,True,False,False,,
id,user,users.id,id,id,ADMIN,,,False,,,False,False,unique,id,False,False,1,-1,-1,-1,False,False,False,,
name,user,users.name,Nom,Name,ADMIN,,,False,,,False,False,None,str,False,False,2,-1,1,-1,True,False,False,,
email,user,users.email,Email,Email,ADMIN,,,False,,,False,False,None,str,False,False,3,-1,2,-1,True,False,False,,
organization,user,users.organization,Organisme,Organization,ADMIN,organization,name,False,,,False,True,oneOf,dict,False,False,4,-1,3,-1,False,True,False,,
rôle,user,users.rôle,Role,Role,ADMIN,rôle,type|action|perimeter,False,,,True,True,oneOf,dict,False,False,5,-1,4,-1,True,True,False,Role attribué : Administrateur/Programmer/Editeur/Reviewer/Public,
id,references,referencess.id,id,id,ADMIN,,,False,,,False,False,unique,id,False,False,1,-1,-1,-1,False,False,False,,
name,references,referencess.name,Nom de la référence,Reference Name,ADMIN,,,False,,,False,False,None,str,False,False,2,1,1,-1,True,True,False,,
uri,references,referencess.uri,URI,URI,ADMIN,,,False,,,False,False,None,url,False,False,3,2,2,-1,True,True,False,,
table_name,references,referencess.table_name,Nom de la table,Table Name,ADMIN,,,False,,,False,False,None,str,False,False,4,3,3,-1,True,True,False,,
